Year;Week;Week Ending;typecode;Commodity;CSX
2022;24;18.06.2022;20;All Other Carloads;961
2022;24;18.06.2022;C;Containers;57787
2022;24;18.06.2022;T;Trailers;1586
2022;23;11.06.2022;01;Grain;3123
2022;23;11.06.2022;02;Farm Products (ex. Grain);116
2022;23;11.06.2022;03;Metallic ores;675
2022;23;11.06.2022;04;Coal;12493
2022;23;11.06.2022;05;Crushed Stone, Sand & Gravel;5017
2022;23;11.06.2022;06;Phosphate Rock;2278
2022;23;11.06.2022;07;Grain Mill Products;2247
2022;23;11.06.2022;08;Food Products;2238
2022;23;11.06.2022;09;Primary Forest Products;631
2022;23;11.06.2022;10;Lumber & Wood Products;1234
2022;23;11.06.2022;11;Pulp & Paper Products;3016
2022;23;11.06.2022;12;Chemicals;10750
2022;23;11.06.2022;13;Petroleum & Petroleum Products;2165
2022;23;11.06.2022;14;Stone, Clay & Glass Products;2641
2022;23;11.06.2022;15;Coke;1108
2022;23;11.06.2022;16;Primary Metal Products;2441
2022;23;11.06.2022;17;Automotive;6939
2022;23;11.06.2022;18;Iron & Steel Scrap;1289
2022;23;11.06.2022;19;Waste & Nonferrous Scrap;2720
2022;23;11.06.2022;20;All Other Carloads;1119
2022;23;11.06.2022;C;Containers;57428
2022;23;11.06.2022;T;Trailers;1564
2022;22;4.06.2022;01;Grain;3226
2022;22;4.06.2022;02;Farm Products (ex. Grain);105
2022;22;4.06.2022;03;Metallic ores;793
2022;22;4.06.2022;04;Coal;11933
2022;22;4.06.2022;05;Crushed Stone, Sand & Gravel;4155
2022;22;4.06.2022;06;Phosphate Rock;2861
2022;22;4.06.2022;07;Grain Mill Products;2188
2022;22;4.06.2022;08;Food Products;2052
2022;22;4.06.2022;09;Primary Forest Products;558
2022;22;4.06.2022;10;Lumber & Wood Products;1328
2022;22;4.06.2022;11;Pulp & Paper Products;2960
2022;22;4.06.2022;12;Chemicals;10121
2022;22;4.06.2022;13;Petroleum & Petroleum Products;2255
2022;22;4.06.2022;14;Stone, Clay & Glass Products;2555
2022;22;4.06.2022;15;Coke;1067
2022;22;4.06.2022;16;Primary Metal Products;2813
2022;22;4.06.2022;17;Automotive;6669
2022;22;4.06.2022;18;Iron & Steel Scrap;1182
2022;22;4.06.2022;19;Waste & Nonferrous Scrap;2620
2022;22;4.06.2022;20;All Other Carloads;1325
2022;22;4.06.2022;C;Containers;52391
2022;22;4.06.2022;T;Trailers;1519
2022;21;28.05.2022;01;Grain;2977
2022;21;28.05.2022;02;Farm Products (ex. Grain);132
2022;21;28.05.2022;03;Metallic ores;755
2022;21;28.05.2022;04;Coal;14304
2022;21;28.05.2022;05;Crushed Stone, Sand & Gravel;5639
2022;21;28.05.2022;06;Phosphate Rock;1880
2022;21;28.05.2022;07;Grain Mill Products;2116
2022;21;28.05.2022;08;Food Products;2273
2022;21;28.05.2022;09;Primary Forest Products;684
2022;21;28.05.2022;10;Lumber & Wood Products;1336
2022;21;28.05.2022;11;Pulp & Paper Products;2956
2022;21;28.05.2022;12;Chemicals;10765
2022;21;28.05.2022;13;Petroleum & Petroleum Products;2438
2022;21;28.05.2022;14;Stone, Clay & Glass Products;2460
2022;21;28.05.2022;15;Coke;993
2022;21;28.05.2022;16;Primary Metal Products;3143
2022;21;28.05.2022;17;Automotive;6584
2022;21;28.05.2022;18;Iron & Steel Scrap;1565
2022;21;28.05.2022;19;Waste & Nonferrous Scrap;2666
2022;21;28.05.2022;20;All Other Carloads;1680
2022;21;28.05.2022;C;Containers;57647
2022;21;28.05.2022;T;Trailers;1643
2022;20;21.05.2022;01;Grain;2553
2022;20;21.05.2022;02;Farm Products (ex. Grain);141
2022;20;21.05.2022;03;Metallic ores;798
2022;20;21.05.2022;04;Coal;11730
2022;20;21.05.2022;05;Crushed Stone, Sand & Gravel;4654
2022;20;21.05.2022;06;Phosphate Rock;2315
2022;20;21.05.2022;07;Grain Mill Products;1843
2022;20;21.05.2022;08;Food Products;2157
2022;20;21.05.2022;09;Primary Forest Products;546
2022;20;21.05.2022;10;Lumber & Wood Products;1261
2022;20;21.05.2022;11;Pulp & Paper Products;3296
2022;20;21.05.2022;12;Chemicals;10763
2022;20;21.05.2022;13;Petroleum & Petroleum Products;2146
2022;20;21.05.2022;14;Stone, Clay & Glass Products;2763
2022;20;21.05.2022;15;Coke;1005
2022;20;21.05.2022;16;Primary Metal Products;2790
2022;20;21.05.2022;17;Automotive;6196
2022;20;21.05.2022;18;Iron & Steel Scrap;1589
2022;20;21.05.2022;19;Waste & Nonferrous Scrap;2928
2022;20;21.05.2022;20;All Other Carloads;1081
2022;20;21.05.2022;C;Containers;56591
2022;20;21.05.2022;T;Trailers;1682
2022;19;14.05.2022;01;Grain;3152
2022;19;14.05.2022;02;Farm Products (ex. Grain);108
2022;19;14.05.2022;03;Metallic ores;613
2022;19;14.05.2022;04;Coal;13888
2022;19;14.05.2022;05;Crushed Stone, Sand & Gravel;4987
2022;19;14.05.2022;06;Phosphate Rock;2743
2022;19;14.05.2022;07;Grain Mill Products;2046
2022;19;14.05.2022;08;Food Products;2422
2022;19;14.05.2022;09;Primary Forest Products;560
2022;19;14.05.2022;10;Lumber & Wood Products;1238
2022;19;14.05.2022;11;Pulp & Paper Products;3027
2022;19;14.05.2022;12;Chemicals;10848
2022;19;14.05.2022;13;Petroleum & Petroleum Products;2143
2022;19;14.05.2022;14;Stone, Clay & Glass Products;2630
2022;19;14.05.2022;15;Coke;1120
2022;19;14.05.2022;16;Primary Metal Products;3069
2022;19;14.05.2022;17;Automotive;6499
2022;19;14.05.2022;18;Iron & Steel Scrap;1401
2022;19;14.05.2022;19;Waste & Nonferrous Scrap;2741
2022;19;14.05.2022;20;All Other Carloads;1548
2022;19;14.05.2022;C;Containers;58102
2022;19;14.05.2022;T;Trailers;1624
2022;18;7.05.2022;01;Grain;2591
2022;18;7.05.2022;02;Farm Products (ex. Grain);146
2022;18;7.05.2022;03;Metallic ores;851
2022;18;7.05.2022;04;Coal;12437
2022;18;7.05.2022;05;Crushed Stone, Sand & Gravel;5310
2022;18;7.05.2022;06;Phosphate Rock;2662
2022;18;7.05.2022;07;Grain Mill Products;1990
2022;18;7.05.2022;08;Food Products;2266
2022;18;7.05.2022;09;Primary Forest Products;612
2022;18;7.05.2022;10;Lumber & Wood Products;1264
2022;18;7.05.2022;11;Pulp & Paper Products;2910
2022;18;7.05.2022;12;Chemicals;10365
2022;18;7.05.2022;13;Petroleum & Petroleum Products;2281
2022;18;7.05.2022;14;Stone, Clay & Glass Products;2627
2022;18;7.05.2022;15;Coke;897
2022;18;7.05.2022;16;Primary Metal Products;2675
2022;18;7.05.2022;17;Automotive;6567
2022;18;7.05.2022;18;Iron & Steel Scrap;1277
2022;18;7.05.2022;19;Waste & Nonferrous Scrap;2820
2022;18;7.05.2022;20;All Other Carloads;1310
2022;18;7.05.2022;C;Containers;56419
2022;18;7.05.2022;T;Trailers;1759
2022;17;30.04.2022;01;Grain;3176
2022;17;30.04.2022;02;Farm Products (ex. Grain);125
2022;17;30.04.2022;03;Metallic ores;960
2022;17;30.04.2022;04;Coal;13366
2022;17;30.04.2022;05;Crushed Stone, Sand & Gravel;5132
2022;17;30.04.2022;06;Phosphate Rock;2485
2022;17;30.04.2022;07;Grain Mill Products;2262
2022;17;30.04.2022;08;Food Products;2564
